"id_customer","id_gender","birthday","newsletter","optin","date_add","date_upd","orders"
"1410","1","0000-00-00","0","0","2018-06-28 19:34:21","2018-06-28 19:34:21","1"
"847","2","1969-12-31","0","0","2017-08-21 21:21:42","2017-08-21 21:21:42","1"
"1071","1","1984-02-16","0","1","2018-01-03 21:41:36","2018-01-03 21:45:35","1"
"1167","1","1969-12-31","0","0","2018-02-23 21:30:25","2018-02-23 21:30:25","1"
"636","0","0000-00-00","0","0","2017-03-10 10:31:23","2017-03-10 10:31:23","1"
"1116","0","0000-00-00","0","0","2018-01-28 19:44:00","2018-01-28 19:44:00","1"
"1340","2","1969-12-31","0","0","2018-05-14 17:19:46","2018-05-14 17:19:46","1"
"1404","1","1995-05-09","0","0","2018-06-26 11:06:37","2018-06-26 11:07:04","1"
"585","1","1979-02-10","1","1","2017-01-17 18:36:14","2017-01-17 18:36:14","1"
"713","0","0000-00-00","0","0","2017-05-17 19:03:02","2017-05-17 19:03:02","1"
"841","1","0000-00-00","0","0","2017-08-18 19:27:30","2017-08-18 19:27:30","1"
"937","1","1994-08-17","0","0","2017-10-09 20:40:30","2017-10-09 20:40:30","1"
"969","1","1981-05-13","0","0","2017-10-31 10:59:03","2017-10-31 10:59:03","1"
"1321","0","0000-00-00","0","0","2018-05-03 12:01:19","2018-05-03 12:01:19","1"
"1385","1","0000-00-00","0","0","2018-06-12 12:34:41","2018-06-12 12:34:41","1"
"534","1","1991-10-27","1","0","2017-01-17 11:00:38","2018-04-12 21:02:27","1"
"1398","1","0000-00-00","0","0","2018-06-19 08:25:33","2018-06-19 08:25:33","1"
"150","1","1988-12-27","0","0","2017-01-17 11:00:34","2017-11-04 16:25:01","1"
"1059","1","1969-12-31","0","0","2017-12-28 15:53:36","2017-12-28 15:53:36","1"
"1251","1","1969-12-31","0","0","2018-04-02 16:43:17","2018-04-02 16:43:17","1"
"1283","0","0000-00-00","0","0","2018-04-14 11:39:16","2018-04-14 11:39:16","1"
"1443","0","0000-00-00","0","0","2018-07-22 16:12:32","2018-07-22 16:12:32","1"
"2","1","0000-00-00","0","0","2016-07-01 21:15:27","2016-07-01 21:15:27","1"
"592","1","0000-00-00","0","0","2017-01-24 23:21:34","2017-01-24 23:21:34","1"
"880","0","1973-11-07","1","1","2017-09-09 19:07:10","2017-12-29 13:09:09","1"
"1168","1","0000-00-00","1","1","2018-02-24 11:49:30","2018-02-24 11:49:30","1"
"1424","1","1997-05-31","0","0","2018-07-08 23:05:57","2018-07-08 23:05:57","1"
"925","1","0000-00-00","0","0","2017-10-03 16:56:21","2017-10-03 16:56:21","1"
"61","1","1998-02-06","0","0","2016-12-21 09:57:35","2016-12-21 10:11:02","1"
"586","1","1969-12-31","0","0","2017-01-19 09:42:48","2017-12-29 13:03:52","1"
"906","0","0000-00-00","0","0","2017-09-25 10:17:45","2017-12-29 13:09:45","1"
"1290","0","0000-00-00","0","0","2018-04-17 12:15:46","2018-04-17 12:15:46","1"
"1354","0","0000-00-00","0","0","2018-05-28 09:26:03","2018-05-28 11:39:32","1"
"1418","1","1981-11-14","1","1","2018-07-06 09:51:51","2018-07-06 09:51:51","1"
"1175","0","0000-00-00","0","0","2018-02-28 12:13:34","2018-02-28 12:13:34","1"
"1335","1","1969-12-31","0","0","2018-05-12 12:16:23","2018-05-12 12:16:23","1"
"612","1","1969-12-31","0","0","2017-02-16 21:42:44","2017-02-16 21:42:44","1"
"836","1","1983-09-24","1","1","2017-08-13 00:48:54","2017-08-15 19:48:21","1"
"964","0","0000-00-00","0","0","2017-10-30 01:22:59","2017-10-30 01:22:59","1"
"1316","1","1975-10-18","1","1","2018-04-30 10:17:24","2018-04-30 10:17:24","1"
"1444","0","0000-00-00","0","0","2018-07-23 13:02:12","2018-07-23 13:02:12","1"
"1476","1","1991-12-20","0","0","2018-08-18 18:04:36","2018-08-18 18:04:36","1"
"3","0","1982-03-08","0","0","2016-07-04 13:30:12","2016-07-04 13:30:12","1"
"1073","0","0000-00-00","0","0","2018-01-04 00:04:13","2018-01-04 00:04:13","1"
"1137","1","1969-12-31","0","0","2018-02-05 20:32:14","2018-02-05 20:32:14","1"
"1470","1","1980-12-01","1","1","2018-08-13 21:25:22","2018-08-13 21:25:22","1"
"939","1","0000-00-00","0","0","2017-10-11 11:34:04","2017-10-11 11:34:04","1"
"1451","0","0000-00-00","0","0","2018-07-26 20:36:49","2018-07-26 20:36:49","1"
"504","1","1986-05-02","0","0","2017-01-17 11:00:38","2017-01-17 11:00:38","1"
"824","0","0000-00-00","0","0","2017-08-08 11:14:03","2017-08-08 11:14:03","1"
"1048","1","1969-12-31","0","0","2017-12-20 22:20:05","2018-08-20 14:51:47","1"
"88","2","1991-01-01","1","0","2017-01-14 03:06:48","2017-01-14 03:06:48","1"
"933","1","1969-12-31","0","0","2017-10-06 17:12:04","2017-10-27 17:19:23","1"
"1221","1","2000-10-25","1","1","2018-03-21 00:19:47","2018-03-21 00:19:47","1"
"658","0","0000-00-00","0","0","2017-03-30 11:09:14","2017-03-30 11:09:14","1"
"722","1","1969-12-31","1","0","2017-05-21 11:53:24","2017-12-29 13:05:49","1"
"1407","1","0000-00-00","0","0","2018-06-27 21:55:04","2018-06-27 21:55:04","1"
